lr,la,T*,P*,rhol*,rhos*,dHmelting*,dUmelting*
16,6,1.94,17.5487079980005,1.006416,1.094494,2.426767883887487,1.0239042789302673
16,6,2.8,32.25818402899275,1.071825,1.153504,3.2577525385356196,1.1258576693076732
17,6,1.19,6.229778750312422,0.925289,1.025645,1.6811986897137157,1.022860064983755
17,6,1.2,6.359806724568857,0.92631,1.026662,1.6965463461512265,1.0247014346413406
17,6,1.3,7.7304318157960505,0.937863,1.036541,1.8042052932604415,1.0194091227193205
17,6,1.57,11.591856673331668,0.965878,1.060979,2.093781092760652,1.0188545713571613
17,6,2.03,18.668576005998503,1.006467,1.096858,2.5691623405114994,1.040521659585104
17,6,2.6,28.059108097975503,1.047056,1.134274,3.1566139205408974,1.095310275813547
17,6,2.8,31.523731242189456,1.060066,1.146028,3.349256600873261,1.1200066508297926
18,6,1.0,3.7725059935016243,0.899435,1.009458,1.5255841289937848,1.0682135266183457
18,6,1.2,6.351613416645838,0.92364,1.028899,1.7499284776029085,1.0462489127718064
18,6,1.22,6.612981703324169,0.925714,1.030732,1.7739016494310835,1.045815938515371
18,6,1.3,7.695014656335916,0.934596,1.037882,1.8578310310435944,1.0389603924018984
18,6,1.63,12.32278504123969,0.96625,1.064757,2.2133623000500986,1.0337358935266177
18,6,2.13,19.902872106973255,1.006786,1.09939,2.720202141965345,1.0563084126468385
18,6,2.75,29.954079517620595,1.047321,1.135358,3.339105181410052,1.1201768210447387
18,6,2.8,30.781397988003,1.049961,1.138002,3.3938326380861383,1.1251853849537616
21,6,1.2,6.252620276180954,0.918576,1.031896,1.8282130182556393,1.080771169707574
21,6,1.24,6.770133260434891,0.92257,1.034924,1.872445905960396,1.0767218295426146
21,6,1.3,7.546031858285428,0.928072,1.039358,1.9442006122453033,1.0736196450887276
21,6,1.69,12.817147263184204,0.960142,1.065467,2.3832843036764397,1.063725886028493
21,6,2.26,21.056179317670583,0.997714,1.097329,3.00138914696811,1.0839272559360158
21,6,2.8,29.324330542364407,1.026948,1.122781,3.5642624863501253,1.1261224998750312
21,6,2.97,31.998004423894024,1.035286,1.130073,3.73265616627656,1.1416465020495126
21,6,3.87,46.643774306423396,1.072859,1.164351,4.6676930582267495,1.2493616470882278
21,6,4.97,65.55694627593101,1.110431,1.199029,5.767385988728063,1.4058036090977248
21,6,6.0,81.95245943514121,1.139457,1.226585,7.256416834724961,1.3301844763809072
21,6,6.33,89.99567015746064,1.148003,1.234644,7.114334290042971,1.618701769557612
22,6,1.0,3.8409499237690574,0.897402,1.021874,1.6626883125635628,1.1406322919270182
22,6,1.2,6.314340641089728,0.917587,1.036166,1.8937318969355257,1.1062618795301176
22,6,1.23,6.695069583854037,0.920235,1.038192,1.9316559823919408,1.104280924768808
22,6,1.3,7.5959663596600855,0.926683,1.042812,2.0072383432590013,1.0946590352411896
22,6,1.67,12.510614858785305,0.956083,1.065082,2.4131455673181588,1.0748400849787552
22,6,2.23,20.42870663584104,0.991931,1.093577,2.999078730291547,1.0850850207448135
22,6,2.8,28.906397263184203,1.021089,1.11809,3.58149297215468,1.125715544863784
22,6,2.95,31.184778405398653,1.027779,1.123967,3.7390021705272343,1.141976334355771
22,6,3.84,45.24833686578356,1.063628,1.155109,4.619662617484885,1.25007903524119
22,6,4.94,63.49985592351912,1.099476,1.187095,5.669080907120876,1.40682622844289
22,6,6.0,81.79113717820545,1.127915,1.21325,6.689350521313778,1.590796675831042
22,6,6.3,87.08210874781305,1.135324,1.220013,6.963865575966851,1.6376118670332414
23,6,1.2,6.299328602849288,0.916849,1.036978,1.9074509451386756,1.1118484053986504
23,6,1.22,6.541226130967258,0.918395,1.038314,1.9318372195740907,1.1099427843039231
23,6,1.3,7.571155687328169,0.925578,1.043531,2.025265603079365,1.1010910122469384
23,6,1.65,12.207871194701324,0.95267,1.064332,2.4251685548623403,1.0815062034491385
23,6,2.21,20.051164558860286,0.986946,1.092439,3.0504428552354517,1.0887214141464632
23,6,2.8,28.75575541114721,1.015912,1.117284,3.691552683493323,1.124758852786803
23,6,2.92,30.581666008497876,1.021222,1.121883,3.8233306584493567,1.135164482930067
23,6,3.81,44.469732554361414,1.055498,1.152367,4.762434184000281,1.2194796450887284
23,6,4.91,62.50267706823294,1.089773,1.18354,5.895275784071122,1.3539439440139969
23,6,6.0,81.09665559860034,1.117607,1.209609,7.0176497416809696,1.498079712571859
23,6,6.28,85.93599603849037,1.124049,1.215714,7.305161116259895,1.5400572956760818
23,6,7.96,115.88734966258436,1.158325,1.248469,9.022829565581766,1.7956829542614372
24,6,1.0,3.8774473219195205,0.89766,1.027067,1.7038269296179318,1.1597700299925018
24,6,1.2,6.335363730317422,0.916317,1.039903,1.946653394846676,1.1257986853286686
24,6,1.21,6.450453774056486,0.916876,1.040513,1.964371174518413,1.1279298325418652
24,6,1.3,7.590258297925519,0.92471,1.04588,2.06616914711994,1.115079280179955
24,6,1.64,12.037151187203198,0.949722,1.064416,2.454971232032853,1.0902742139465134
24,6,2.19,19.63447230692327,0.982568,1.089958,3.0627978112729544,1.0931666618345417
24,6,2.8,28.459389340164957,1.011319,1.113789,3.714344248404264,1.1257404398900277
24,6,2.9,29.941589952511872,1.015414,1.117351,3.822803894528187,1.131434499164459
24,6,3.78,43.382220132466884,1.04826,1.145501,4.72758197940114,1.216655751062235
24,6,4.89,61.10258379155212,1.081106,1.17494,5.858919983604734,1.348127113221694
24,6,6.0,79.5345698700325,1.108358,1.199764,6.974210547917391,1.5085077080729803
24,6,6.25,83.7797324043989,1.113953,1.204867,7.222649315073035,1.550749325168706
24,6,7.94,113.02532754311423,1.146799,1.235773,8.900200421531828,1.808976380904774
25,6,1.2,6.276775407398151,0.915652,1.039401,1.938431120868294,1.123569535116221
26,6,1.19,6.190592584353912,0.914601,1.041416,1.961369323853914,1.137248772806798
26,6,1.2,6.321918996500874,0.915744,1.04197,1.9706080660400405,1.1336305523619092
26,6,1.3,7.5748790902274425,0.923538,1.047373,2.0933980757036985,1.1234653986503371
26,6,1.61,11.55511649587603,0.944946,1.06276,2.456783078115529,1.101135018745314
26,6,2.16,18.96886474631342,0.975291,1.08616,3.0798711446298968,1.0966181774556358
26,6,2.8,28.030022069482627,1.003573,1.108971,3.779172550566368,1.1273713831542114
26,6,2.85,28.765117195701073,1.005635,1.110599,3.832928684608981,1.1271831529617595
26,6,3.73,41.79627175706074,1.03598,1.136469,4.7705931110899895,1.202790869782554
26,6,4.83,58.8219936015996,1.066325,1.163248,5.916762525707431,1.3257121569607602
26,6,6.0,77.55795653586604,1.092486,1.187144,7.131664395054661,1.4793896325918512
26,6,6.21,80.98843251687079,1.09667,1.19105,7.345938412259089,1.5017388852786802
26,6,7.91,109.28584191452137,1.127015,1.219407,9.072891528408398,1.7252835041239685
26,6,10.0,145.35480104973757,1.15736,1.248329,11.18578068573599,2.0345681329667578
27,6,1.18,6.011553180454886,0.913822,1.039396,1.9206574127441816,1.1260028042989254
27,6,1.2,6.268768266683329,0.91565,1.040514,1.9452477820000025,1.1230104548862787
27,6,1.3,7.505803872781804,0.923177,1.045948,2.0680211884578146,1.1124256160959751
27,6,1.6,11.347439977505623,0.94306,1.060905,2.4359893879589865,1.0978095301174706
27,6,2.14,18.605123806548363,0.972298,1.083931,3.0646028624318595,1.095775343664084
27,6,2.8,27.88819957510622,1.000296,1.107331,3.814522762836332,1.1218643896525868
27,6,2.83,28.326531142214442,1.001536,1.1083,3.8490276653370694,1.1248555518620345
27,6,3.71,41.2722631592102,1.030774,1.133943,4.837443033836175,1.1927209697575605
27,6,4.81,58.14444733816546,1.060012,1.160354,6.040103934074064,1.2991593626593367
27,6,6.0,77.06757985503624,1.085643,1.184192,7.330699140873433,1.4245916245938526
27,6,6.19,80.11191383404149,1.08925,1.187652,7.541592573398184,1.4490602424393897
27,6,7.89,108.25995563609098,1.118488,1.215389,9.367437555654355,1.6589574106473377
27,6,10.0,144.3053685328668,1.147726,1.243832,11.620374109678162,1.90124813796551
28,6,1.17,6.034130327418145,0.913193,1.045723,1.9993959072324428,1.162089097725568
28,6,1.2,6.406552715571108,0.915658,1.047141,2.036532091681748,1.1578922994251446
28,6,1.3,7.647078539115221,0.922936,1.051742,2.1547025228497994,1.1398427793051735
28,6,1.59,11.32312010747313,0.94141,1.064121,2.5027509178042253,1.1142755086228444
28,6,2.12,18.335750274931264,0.969628,1.083811,3.090637912063853,1.098437792051987
28,6,2.8,27.706017608097977,0.997351,1.105087,3.836348992236133,1.1247181687078232
28,6,2.81,27.85351569607598,0.997845,1.105374,3.836246744683126,1.123108213196701
28,6,3.69,40.50124553861535,1.026063,1.128328,4.767611734900884,1.187401872031992
28,6,4.79,56.939896438390406,1.05428,1.152195,5.891361025496357,1.3049351687078232
28,6,6.0,75.62012274431393,1.07941,1.17423,7.113940798544872,1.4554616395901014
28,6,6.17,78.29571732066984,1.082498,1.177054,7.2785919794812735,1.4760460784803806
28,6,7.88,105.72941582104474,1.110715,1.202609,8.972727429006564,1.70667810547363
28,6,10.0,140.8041617095726,1.138933,1.228894,11.066829965671005,2.018780454886283
29,6,1.16,5.837206370907273,0.912746,1.042791,1.939673240665285,1.1426536215946022
29,6,1.2,6.3303987303174205,0.915751,1.044634,1.98893630688405,1.1363940414896274
29,6,1.3,7.554300178705324,0.922797,1.049108,2.112392465123281,1.1261569957510624
29,6,1.57,10.952682111972006,0.940013,1.060347,2.4199950614499466,1.0984724093976506
29,6,2.11,18.006704273931515,0.96728,1.079915,3.033911749487328,1.0932231942014496
29,6,2.8,27.401963759060234,0.994547,1.100871,3.775982654915394,1.1155049012746814
29,6,6.15,75.85881290927269,1.073716,1.170125,6.902081420004527,1.0847495351162229
30,6,1.2,6.309592296925769,0.915916,1.044673,1.9814632581891625,1.1322310872281929
30,6,1.3,7.538122468132967,0.922745,1.049087,2.1053222215779295,1.1208270432391907
30,6,1.56,10.804834040239939,0.938777,1.059771,2.412231347845953,1.0988399050237447
30,6,2.1,17.821727968008,0.965164,1.07907,3.041334727642826,1.0921338292926768
30,6,2.78,27.0489507748063,0.991552,1.099399,3.7892054394449146,1.1137848057985504
30,6,2.8,27.33275834791302,0.992297,1.099945,3.809808828481883,1.1121026940764809
30,6,3.65,39.345456835791055,1.017939,1.121045,4.732575635600521,1.1787037240689824
30,6,4.75,55.41481669582605,1.044326,1.143718,5.900403304084129,1.285245991002249
30,6,6.0,74.37490572356911,1.068498,1.165194,7.200921217893,1.4262638190452392
30,6,6.13,76.34329413896525,1.070714,1.167227,7.327658319926426,1.441070244938766
30,6,7.85,103.2487262684329,1.097101,1.191421,9.09933017241258,1.649668607848037
30,6,10.0,137.97244038990252,1.123489,1.216379,11.301720653780835,1.924353961509624
31,6,1.0,4.139411710822294,0.901346,1.047482,1.8741016066822036,1.2331610222444382
31,6,1.14,5.824872111972008,0.912249,1.052782,2.0467386738264355,1.1954600474881274
31,6,1.2,6.549920416145962,0.916142,1.05497,2.128371876482443,1.18772591852037
31,6,1.3,7.779699623844039,0.922766,1.058515,2.2503784349781535,1.1688553386653338
31,6,1.55,10.901559222694328,0.937803,1.06687,2.5420990330637725,1.1356516720819796
31,6,2.08,17.746762521869528,0.963357,1.082622,3.1350088738416897,1.1055481732066983
31,6,2.76,26.832908610347417,0.988911,1.099909,3.852556581853251,1.1128788722819294
31,6,2.8,27.364607623094226,0.990125,1.100845,3.898764753959055,1.1211464178955262
31,6,3.63,38.873408972756806,1.014465,1.118649,4.737399806174027,1.1707494501374651
31,6,4.73,54.60300253686579,1.040019,1.13858,5.812111509440464,1.2722235816045986
31,6,6.0,73.36182378155459,1.063705,1.157974,7.0451000161935475,1.43089814296426
31,6,6.11,75.01404836290928,1.065572,1.159512,7.1365107685085505,1.4366319895026258
31,6,7.84,101.40743016745814,1.091126,1.1814,8.792459566826542,1.6935818295426124
31,6,10.0,135.23934291427142,1.11668,1.204134,10.789215841318091,1.999483179205196
32,6,1.14,5.695546168457885,0.912106,1.048202,1.974217533293713,1.164324503874031
32,6,1.2,6.430795594851287,0.916418,1.050578,2.052108554300326,1.1551520819795051
32,6,1.3,7.65212664083979,0.922851,1.054413,2.1789765606331684,1.1429517095726074
32,6,1.54,10.656265863534117,0.936892,1.063055,2.468002127412222,1.1176421969507628
32,6,2.07,17.482314121469635,0.961678,1.07986,3.0847494164810128,1.0965481254686322
32,6,2.75,26.596375056235942,0.986464,1.098055,3.853828125390372,1.1139234631342163
32,6,2.8,27.2782919020245,0.988154,1.099276,3.902160505278171,1.112524927768058
32,6,3.61,38.527564408897774,1.01125,1.117339,4.7781707023926625,1.1619927618095478
32,6,4.71,54.31872355661085,1.036036,1.137884,5.955840854134911,1.2648885853536616
32,6,6.0,73.35130631092227,1.05929,1.157982,7.297859624271249,1.3981205948512878
32,6,6.1,74.86719333916521,1.060822,1.159401,7.407420657173572,1.4069845588602847
32,6,7.83,101.31398612846789,1.085608,1.181549,9.174507892063112,1.598860634841289
32,6,10.0,135.40258835291178,1.110394,1.204496,11.399258747218184,1.880863484128973
33,6,1.2,6.3997828017995495,0.916737,1.049772,2.025629840376104,1.141306938265434
33,6,1.3,7.632107658085478,0.92299,1.05372,2.1561477944454257,1.1300963034241436
33,6,1.53,10.511890482379409,0.93613,1.06223,2.44150926622204,1.108557623094227
33,6,2.06,17.325991177205697,0.960194,1.079418,3.091338430076475,1.0978424306423396
33,6,2.73,26.34390194951262,0.984258,1.097633,3.875158801806727,1.1110176200949762
33,6,2.8,27.262834178955263,0.986362,1.099362,3.95245577781466,1.1141770822294426
33,6,3.6,38.40297016995751,1.008321,1.117317,4.872282730208807,1.1573135741064735
33,6,4.69,54.060577305673576,1.032385,1.13773,6.091506670561179,1.2375398575356162
33,6,6.0,73.41336372156961,1.055214,1.158074,7.536477518050623,1.356156833291679
33,6,6.08,74.62879581354662,1.056449,1.159204,7.629698883031747,1.3720672231942022
33,6,7.82,101.18830843539115,1.080512,1.181319,9.528547545931866,1.5346712571857015
33,6,10.0,135.41554011497124,1.104576,1.204094,11.904423247396569,1.771198450387402
34,6,1.2,6.4721739577605595,0.917092,1.052574,2.059984327577908,1.1522054461384652
34,6,1.3,7.6887763259185204,0.923175,1.056171,2.1898418235357275,1.14024382904274
34,6,1.52,10.434041368407899,0.935488,1.06363,2.459032482533548,1.1160613746563357
34,6,2.05,17.21843147963009,0.958872,1.079502,3.1053141252284586,1.0993397895526116
34,6,2.72,26.137113571607095,0.982257,1.09644,3.878880532952611,1.1080456608347913
34,6,2.8,27.212986378405404,0.98473,1.098281,3.96547174275938,1.1094468117970506
34,6,3.58,37.959195976005994,1.005641,1.114657,4.844024064700545,1.1538090569857535
34,6,4.68,53.52111525868533,1.029025,1.134037,6.04789727259978,1.2332169807548112
34,6,6.0,72.82112033241688,1.051443,1.15337,7.477137605019924,1.3590706623344166
34,6,6.06,73.72549041489629,1.05241,1.15417,7.542769238123181,1.3671248187953011
34,6,7.81,100.00161092226944,1.075794,1.175242,9.414546019025163,1.5494123469132717
34,6,10.0,133.91554811297175,1.099179,1.196952,11.726368993644993,1.766416945763556
